Price,Property_Type,Building_Age,Tenure,Month,Latitude,Longitude
190000,T,N,F,2,50.4922,-3.5602
898315,F,Y,L,5,51.522,-0.0788
275000,D,Y,F,4,53.2616,-1.4536
710000,D,N,F,4,51.4812,-0.5783
280000,F,N,L,5,51.3491,-0.1968
325000,D,N,F,11,52.7745,-1.2382
350000,T,N,F,6,51.0391,-2.2741
485000,D,N,F,6,51.3451,-0.5032
325000,S,N,F,2,51.5485,0.7238
312500,F,N,L,2,51.3919,0.0545
327995,D,Y,F,2,53.8506,-2.8758
250000,S,N,F,6,51.6437,-0.2979
635000,F,N,L,6,51.583,-0.5592
481300,T,N,F,6,50.8292,-0.1276
270000,D,N,F,10,52.6695,-2.0198
100000,T,N,F,2,53.3435,-1.4485
105000,S,N,F,6,53.4651,-2.9873
348000,F,N,L,4,51.5417,0.0186
71000,F,N,L,7,52.708,-2.4537
235000,F,N,L,2,50.8157,-0.3415
275000,D,N,F,1,53.6998,-2.6358
190000,S,N,F,6,52.6038,-2.0591
350000,D,N,L,9,53.3491,-2.145
178000,S,N,L,5,53.5233,-2.709
1500000,T,N,F,6,51.5871,-0.1388
579257,S,N,F,3,51.4228,-0.0932
560000,F,N,L,9,51.5157,-0.2673
500000,S,N,F,11,51.6029,-0.2783
420000,T,N,F,2,51.5835,0.2246
338000,D,N,F,12,51.8122,0.7496
256000,S,N,F,5,52.9047,-1.3669
312500,S,N,F,1,51.8856,-2.1287
320000,D,N,L,6,53.3984,-2.6427
260000,S,N,L,8,53.2302,-2.5108
380000,S,N,F,6,52.4109,-1.819
288000,T,N,F,6,53.8248,-1.95
412500,T,N,F,5,51.4119,-0.1795
276000,S,N,F,10,52.3495,-0.1119
76000,T,N,F,3,53.8065,-1.51
295000,S,N,F,1,53.2207,-2.8904
1450000,F,N,L,6,51.4961,-0.2064
31000,T,N,F,4,53.4953,-1.3004
195000,T,N,F,4,51.3764,0.5493
170000,F,N,L,1,51.0473,0.185
2500,O,Y,L,3,51.4293,-0.3218
115000,T,N,F,2,53.7351,-1.6467
97000,T,N,F,3,54.5646,-1.2508
69000,S,N,F,11,54.5466,-1.2965
284250,D,N,F,6,53.7285,-1.6501
385000,D,N,F,6,52.587,-1.0991
170000,S,N,F,10,50.4718,-3.5549
400000,S,N,F,6,50.9517,-0.1315
279995,T,N,F,9,53.8528,-1.7462
440000,T,N,F,6,51.025,-0.4539
483000,T,N,F,3,51.5603,-0.4056
159950,F,N,L,5,50.2655,-5.0428
310000,F,N,L,8,51.6077,-0.1233
246665,F,Y,L,8,53.4855,-2.2485
220000,D,N,F,9,53.5312,-1.3795
230000,D,N,F,6,52.8961,-0.6617
333500,S,N,F,2,51.2591,-0.8325
700000,D,N,F,9,54.0408,-1.439
480250,S,N,F,2,50.9529,-0.7519
103000,S,N,F,11,54.957,-1.8617
125000,T,N,L,2,53.3987,-2.5715
246000,S,N,F,9,51.3527,0.7178
112000,T,N,F,1,53.4631,-2.7478
805000,D,N,F,6,51.8858,-2.0489
400000,D,N,F,4,53.1987,-2.8646
935000,D,N,F,3,51.2369,-0.567
262000,D,N,F,7,52.6893,1.1974
420500,D,N,F,6,51.3885,-1.3097
400000,D,N,F,3,53.4712,-2.0362
200000,T,N,F,12,53.7342,-1.8655
800000,D,N,F,11,51.9397,-0.839
415000,D,N,F,9,51.8877,0.8205
156150,T,N,F,8,53.6548,-1.5448
632500,T,N,F,3,51.5924,-0.0817
425000,D,N,F,12,50.7957,-0.6297
462000,T,N,F,5,51.4793,-0.6547
221500,S,N,F,3,52.5522,-1.1486
169995,T,N,F,3,52.61,-2.0426
380000,T,N,F,3,51.5338,0.1935
141500,S,N,F,2,54.7074,-1.6083
210500,T,N,F,11,53.4883,-2.2964
514000,S,N,F,2,52.9764,-2.4936
170000,T,N,F,5,53.6167,-0.2284
202500,S,N,F,1,53.4258,-3.0326
202000,S,N,F,8,52.7615,-0.3674
107500,F,N,L,11,50.7919,-1.8872
310000,S,N,F,6,50.7794,0.1267
215000,T,N,F,4,52.5683,-0.2274
205000,S,N,F,7,52.2566,-0.8599
227000,D,N,F,8,52.2499,-1.1711
240000,F,N,L,2,50.7267,-1.8986
264000,D,N,L,8,53.487,-2.3613
425000,D,N,F,1,51.9542,1.3391
225000,S,N,F,11,52.2243,-0.9013
2000000,O,N,F,9,53.7861,-1.4926
115000,F,N,L,2,53.2092,-2.8747
535000,D,N,F,3,54.4233,-1.2837
415000,S,N,L,9,53.1595,-2.9871
235000,S,N,F,9,53.7285,-2.7884
197500,F,N,L,4,50.81,-1.8888
310000,S,N,F,3,51.8742,0.8336
185000,S,N,F,6,52.8364,-2.0363
170000,F,N,L,7,50.7246,-1.8385
226500,S,N,F,2,52.4594,-2.0057
219750,S,N,F,2,52.4528,-2.0717
425000,D,N,F,6,51.0131,-0.932
225000,T,N,L,9,53.4862,-2.2555
737500,T,N,F,7,51.4122,-0.0346
856000,D,N,F,3,53.2546,-2.7178
81000,T,N,F,12,53.557,-0.0779
173000,O,N,L,3,50.4411,-4.1109
165000,S,N,F,10,52.4683,-1.792
307500,T,N,F,1,52.9087,0.5429
126000,T,N,F,3,52.5674,-2.0003
450000,D,N,F,6,51.4293,-0.8792
570000,T,N,F,9,51.6695,-0.5853
850000,D,N,F,6,51.0779,-2.3127
298000,T,N,F,8,51.7424,-2.2038
562500,D,N,F,4,53.4489,-2.5316
1310000,F,N,L,9,51.5141,-0.2073
175000,S,N,F,3,53.3207,-1.3148
345000,O,N,F,11,52.747,-1.9473
395000,D,N,F,11,52.7195,-1.1521
167500,T,N,F,7,50.6209,-4.7274
135000,T,N,F,7,54.1138,-2.5148
168000,F,N,L,5,50.8754,0.2555
310000,D,N,F,4,50.8805,0.554
250000,S,N,F,3,50.4203,-3.5824
229950,T,N,F,5,55.0245,-1.6311
120000,F,N,L,6,52.8957,-1.3379
870000,S,N,F,6,51.594,0.0289
133000,F,N,L,6,52.4148,-1.5243
260000,D,N,F,9,52.5367,-0.2323
212500,S,N,F,1,54.5475,-1.9272
155000,T,N,F,9,53.4961,-2.1839
180000,F,N,L,1,50.733,-1.8237
196000,T,N,F,3,53.1038,-2.0205
465000,T,N,F,9,51.7986,-0.1801
85000,T,N,L,6,53.0259,-1.4656
355000,T,N,F,10,50.8304,-0.1251
167000,T,N,F,10,52.7013,-1.9834
299950,D,N,F,8,52.0776,-1.9424
344000,T,N,F,6,51.5262,-0.6194
215000,D,N,F,1,55.0233,-1.4685
250000,F,Y,L,4,53.1882,-2.8896
4100000,T,N,F,8,51.5417,-0.1558
245000,F,N,L,10,51.7449,-1.1382
688000,F,N,L,6,51.5149,-0.1362
275000,F,N,L,5,51.5478,0.6612
80000,S,N,F,6,54.9187,-1.529
295000,D,N,F,6,51.3225,-2.2297
1774125,F,Y,L,1,51.5574,-0.1931
650000,D,N,F,1,50.1148,-5.1067
337000,S,N,F,1,51.3388,0.7141
140000,S,N,F,5,52.7048,-1.9793
620000,T,N,F,2,51.435,-0.0622
91500,T,N,F,8,52.6954,-2.4395
265000,D,N,F,9,52.2974,-0.388
105000,T,N,F,11,54.8163,-1.3824
